artist,name,category,position,score,from,to,us,uk,de,fr,ca,au
"6ix9ine & Lil Baby","Tic Toc","song",""," 473.697","Dec 2018","Jan 2019","53","43","","58","22","",""
"6ix9ine & Nicki Minaj","Trollz","song","","1330.247","Jun 2020","Jul 2020","1","12","","45","4","45",""
"6ix9ine & Tory Lanez","Kika","song","","1355.570","Nov 2018","Mar 2019","44","9","","51","13","30",""
"6ix9ine, Fetty Wap & A Boogie Wit Da Hoodie","Keke","song",""," 997.893","Jan 2018","Mar 2018","43","98","","","37","",""
"6ix9ine, Nicki Minaj & Kanye West","Mama","song",""," 707.984","Nov 2018","Feb 2019","43","29","","72","16","22",""
"6ix9ine, Nicki Minaj & Murda Beatz","Fefe","song","1203","6879.575","Jul 2018","Jan 2019","3","17","16","22","5","8",""
"6ix9ine, Tory Lanez & Young Thug","Rondo","song",""," 116.672","Mar 2018","Mar 2018","73","","","","53","",""
"6LACK","FREE 6LACK","album","1684","11433.543","Dec 2016","Oct 2018","34","","","","75","",""
"6LACK & J Cole","Pretty Little Fears","song",""," 157.578","Sep 2018","Nov 2018","76","86","","","65","",""
"6LACK & Lil Baby","Know My Rights","song",""," 136.195","Jul 2020","Jul 2020","75","","","","82","",""
"88GLAM & NAV","Bali","song","","  34.836","Dec 2017","Jan 2018","","","","","62","",""
"98 Degrees","2.0","album",""," 234.933","May 2013","Jun 2013","65","","","","","",""
"98 Degrees","98 Degrees And Rising","album","","7155.254","Jan 2000","May 2000","29","","","","","",""
"98 Degrees","Give Me Just One Night","song","889","8390.055","Aug 2000","Jan 2001","2","61","","","","21",""
"98 Degrees","I Do (Cherish You)","song",""," 103.643","Jan 2000","Feb 2000","","","","","","26",""
"98 Degrees","My Everything","song","1838","5079.990","Dec 2000","Apr 2001","34","","","","","",""
"98 Degrees","Revelation","album","1069","16720.935","Oct 2000","Mar 2001","2","","","","2","40",""
"98 Degrees","The Collection","album",""," 200.403","May 2002","May 2002","153","","","","","",""
"98 Degrees","The Hardest Thing","song",""," 136.233","Mar 2000","Mar 2000","","29","","","","",""
"98 Degrees","This Christmas","album","","2033.872","Jan 2000","Jan 2000","35","","","","","",""
